 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
0.410933,0.39483,3.22378,0.338012,0.40643,1.49396,0.493247,-0.125391,-0.36427,1.12024,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.410933,0.39483,-2.50168,0.338012,0.330743,-0.416294,0.493247,0.112535,0.779947,1.42247,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0.410933,0.39483,-0.875947,0.338012,0.965427,1.89435,0.493247,0.0170946,1.76937,0.703147,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0
0.410933,0.39483,-1.09291,0.338012,2.14627,2.23894,0.493247,0.790758,3.58058,0.449637,0.20112,0.409727,0.378909,0.563469,0.543542,0.480755,0.613564,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
